Actual/Predict,0,1,2,3,4,5,6,7,8,9,Recall
0,162,0,29,19,0,31,41,0,13,1,54.73
1,2,198,25,13,5,32,15,10,36,7,57.56
2,0,0,0,0,0,0,0,0,0,0,0.0
3,28,1,117,156,1,96,66,1,123,5,26.13
4,7,0,7,2,111,9,52,68,9,80,31.81
5,0,0,0,0,0,0,0,0,0,0,0.0
6,0,0,0,0,0,0,0,0,0,0,0.0
7,1,1,22,10,83,32,26,121,19,107,28.21
8,0,0,0,0,0,0,0,0,0,0,0.0
9,0,0,0,0,0,0,0,0,0,0,0.0
Precision,81.0,99.0,0.0,78.0,55.5,0.0,0.0,60.5,0.0,0.0
