Actual/Predict,0,1,2,3,4,5,6,7,8,9,Recall,32.21
0,164,0,49,28,0,58,15,0,23,1,48.52,
1,0,187,8,4,3,8,6,6,9,3,79.57,
2,0,0,0,0,0,0,0,0,0,0,0,
3,3,0,32,89,0,19,3,0,16,0,53.94,
4,0,0,1,0,77,2,10,30,3,51,43.26,
5,0,0,0,0,0,0,0,0,0,0,0,
6,24,0,49,18,18,35,124,8,53,15,35.43,
7,1,8,17,9,102,34,13,154,14,129,31.56,
8,8,5,44,52,0,44,29,2,82,1,29.82,
9,0,0,0,0,0,0,0,0,0,0,0,
Precision,82,93.5,0,44.5,38.5,0,62,77,41,0,,
43.85,,,,,,,,,,,,
