Actual/Predict,0,1,2,3,4,5,6,7,8,9,Recall
0,165,0,5,3,0,5,0,0,2,0,91.67
1,6,198,47,15,23,60,25,27,52,14,42.31
2,0,0,0,0,0,0,0,0,0,0,0.0
3,16,1,24,172,0,106,5,0,124,5,37.72
4,0,0,0,0,0,0,0,0,0,0,0.0
5,0,0,0,0,0,0,0,0,0,0,0.0
6,11,0,121,3,53,2,170,3,7,15,43.48
7,2,1,3,7,124,27,0,170,15,166,32.57
8,0,0,0,0,0,0,0,0,0,0,0.0
9,0,0,0,0,0,0,0,0,0,0,0.0
Precision,82.5,99.0,0.0,86.0,0.0,0.0,85.0,85.0,0.0,0.0
